UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
TNIE Tamil Nadu,@xpresstn,2020-12-04T08:00:01.000Z,"#CycloneBurevi: At least three people were killed after two houses collapsed in #Thanjavur on Friday as incessant rains continued due to cyclone Burevi.Cyclone Burevi: Three killed after houses collapse in Thanjavur; swathe of paddy fields under...
The Kumbakonam taluk police rushed to the spot and sent the bodies to Kumbakonam Government hospital for post-mortem.
newindianexpress.com",,1,
Manorama News,@manoramanews,2020-12-04T07:31:27.000Z,"#CycloneBurevi #Burevi #Rain #Cyclone
കേരളത്തിൽ ബുറെവി കൂടുതൽ ദുർബലമാകും; കരുതലിൽ അയയാതെ സംസ്ഥാനംകേരളത്തിൽ ബുറെവി കൂടുതൽ ദുർബലമാകും; കരുതലിൽ അയയാതെ സംസ്ഥാനം
ബുറെവി ചുഴലിക്കാറ്റ് ദുര്‍ബലമായതോടെ ഭീതിയൊഴിഞ്ഞ് കേരളം. ഒറ്റപ്പെട്ട കനത്ത മഴയക്ക് സാധ്യതയുണ്ടെന്ന് കാലാവസ്ഥാവകുപ്പ്. റെഡ് അലര്‍ട്ട്.Cyclone Burevi. Burevi. Rain. Cyclone. Manorama News. Malayala...
manoramanews.com",,6,1
dinakaranonline,@dinakaranonline,2020-12-04T07:20:47.000Z,"தமிழகத்தில் வடகிழக்கு பருவமழை தீவிரமாக உள்ளது..!
#CycloneBurevi #BureviCyclone #Burevi #TNRains",,6,
AftabAhmed,@ahmedaftab04,2020-12-04T07:04:24.000Z,पुदुचेरी में लगातार हो रही बारिश की वजह से कई जगह जलभराव हुआ। तस्वीरें कामराजनगर से। #CycloneBurevi,,18,4
The Weather Channel India,@weatherindia,2020-12-04T06:45:01.000Z," “#CycloneBurevi Temporarily Weakens into Deep Depression; To Make Landfall over Tamil Nadu by Friday Afternoon”

#CycloneBureviUpdatesThe Weather Channel India
@weatherindia
Cyclone Burevi To Make Landfall over Tamil Nadu by Friday Afternoon",,8,1
Abhishek Lohia,@JuniorLohia,2020-12-04T06:37:20.000Z,"#CycloneBurevi | Thiruvananthapuram airport shut for 8 hours

https://hindustantimes.com/india-news/cyclone-burevi-thiruvananthapuram-airport-shut-for-8-hours/story-RcrcTX2eelkmmyoaf4jclI.html…",,2,
പാറശാല പാച്ചന്‍,@ajith_0787,2020-12-04T06:29:14.000Z,"ലോകത്ത് ആദ്യമായി ചുട്ടുപൊള്ളുന്ന വെയിൽ അടിച്ച ദിവസത്തിന് പേമാരി കാരണം അവധി കൊടുത്ത സർക്കാർ രാജി വയ്ക്കണം

#CycloneBurevi",,14,1
FX16 News,@fx16news,2020-12-04T06:17:36.000Z,"#Puducherry: Chief Minister 
@VNarayanasami
 visits rain-affected areas in Kamaraj Nagar.(ANI) 

 #CycloneBurevi 
@CMPuducherry",,3,
Global Tribune,@GTribuneNews,2020-12-04T06:04:57.000Z,"Thiruvananthapuram Airport Suspended Flights For 8 Hours Due To Cyclone Burevi
#CycloneBureviThiruvananthapuram Airport Suspended Flights For 8 Hours Due To Cyclone Buveri
On Friday, for safety measures of Cyclone Burevi’s landfall across the southern districts of Kerala and Tamil Nadu, Thiruvananthapuram authorities shut the international airport and suspended flight...
globaltribune.in",,,
dinakaranonline,@dinakaranonline,2020-12-04T05:55:12.000Z,"நகர மறுக்கும் ஆழ்ந்த காற்றழுத்த தாழ்வு மண்டலமாக தமிழகத்தில் 2 நாட்களுக்கு கனமழை தொடரும் : தமிழ்நாடு வெதர்மேன் தகவல் #CycloneBurevi #BureviCyclone #Burevi #TNRainsநகர மறுக்கும் ஆழ்ந்த காற்றழுத்த தாழ்வு மண்டலமாக தமிழகத்தில் 2 நாட்களுக்கு கனமழை தொடரும் : தமிழ்நாடு...
நகர மறுக்கும் ஆழ்ந்த காற்றழுத்த தாழ்வு மண்டலமாக தமிழகத்தில் 2 நாட்களுக்கு கனமழை தொடரும் : தமிழ்நாடு வெதர்மேன் தகவல்
dinakaran.com",,7,2
