UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
All India Radio News,@airnewsalerts,2020-12-03T13:23:25.000Z,"#CycloneBurevi : 
@airnews_Chennai
 is mounting special news bulletins,from 10.30 pm tonight to 6.30 am tomorrow, for every half an hour,each of 5 min duration. They will also be on AIR FM Rainbow in Madurai,Tirunelveli &Nagercoil
Keep battery operated Radio with you for updates",,24,14
MadhimugamTV,@MadhimugamTV,2020-12-03T13:00:46.000Z,"#BREAKING புரெவி புயல் காரணமாக சென்னையில் இருந்து நாளை தூத்துக்குடி செல்லும் முத்துநகர் விரைவு ரயில் மதுரையுடன் நிறுத்தப்படும்

- தென்னக ரயில்வே அறிவிப்பு

 #CycloneBurevi #TRAIN",,,
Zee News English,@ZeeNewsEnglish,2020-12-03T12:41:44.000Z,"Stranded for 2 days on an island, 3 fishermen rescued by an Indian Coast Guard | #CycloneBureviCyclone Burevi: Indian coast guard rescues fishermen stranded on island; know their story
Amid harsh weather conditions owing to Cyclone Burevi in the southern tip of the Indian peninsula, an Indian Coast Guard Hovercraft rescued three fishermen who were stranded on an island for over two...
zeenews.india.com",,28,1
𝐋𝐚𝐥𝐢𝐭𝐡𝐚 𝐑𝐚𝐧𝐣𝐚𝐧𝐢,@Lalitha_Ranjani,2020-12-03T12:24:37.000Z,"#CycloneBurevi in #Ramanathapuram dist:

An average of 23.96 mm rainfall received in the district, according to the rainfall report timed 4 pm. 

Rameswaram recorded 61.4 mm rain & Thangachimadam received 55.5 mm rain.
@xpresstn
 @NewIndianXpress
 @VinodhArulappan",,1,1
Arun Chandran,@arun_mt1981,2020-12-03T12:14:19.000Z,"#CycloneBurevi #CycloneAlert #CyclonePRD LIVE
@prdlivekerala
 · Dec 3
#ബുറേവി update: #Trivandrum #kerala #BureviCyclone 

തിരുവനന്തപുരം പൊന്മുടിയിൽ ലയങ്ങളിൽനിന്ന് ആളുകളെ മാറ്റുന്ന നടപടി പുരോഗമിക്കുന്നു. ഇതുവരെ 177 പേരെ മാറ്റി. കെ.എസ്.ആർ.ടി.സി. ബസുകളിലാണ് ഇവരെ ക്യാമ്പുകളിലേക്ക് മാറ്റുന്നത്.",,,
vasanth kumar,@vasanth51276951,2020-12-03T11:49:26.000Z,"#CycloneBurevi #Burevi #AIADMK #EPS #OPS 
#Annan_KPKK.P. KANDAN and 9 others",,15,7
IndiaToday,@IndiaToday,2020-12-03T11:38:48.000Z,"#CycloneBurevi expected to hit near Pamban. 
@itsgopikrishnan
 gets us more details.
#ITVideo",,16,1
Anjali Marar,@LittleMurthy,2020-12-03T11:27:49.000Z,"Effect of Cyclone Burevi over Kerala. 

Cloudy, moderate rain and windy. 

#CycloneBurevi",,1,
Meera Solanki,@MeeraSo47949992,2020-12-03T11:11:59.000Z,"As Kerala remains under high alert expecting #heavyrains and winds as a result of #cycloneBurevi , Chief Minister #PinarayiVijayanIn pics: Tamil Nadu on alert, NDRF teams deployed as Cyclone Burevi nears
Normal life was disrupted in Puducherry on Thursday as torrential downpour influenced by cyclone 'Burevi' pounded several parts of the union territory
business-standard.com",,,
Dileep V Kumar,@dileepvk_TNIE,2020-12-03T10:59:59.000Z,"#CycloneBurevi #Updates #Kerala 

State Electricity Board directs its control rooms to operate 24X7
It also starts inspection of power transmission lines and transformers 
@ndmaindia
 @NewIndianXpress
 @xpresskerala",1,,1
Joseph,@Accuforecast,2020-12-03T10:46:50.000Z,"#IMD maintaining its forecast of #CycloneBurevi keeping its strength even as it reaches Gulf of Mannar, after crossing SriLanka.India Meteorological Department
@Indiametdept
 · Dec 3
At 1430 hrs IST, Cyclone ‘Burevi’ lay close to Pamban with associated wind speed of 70-80 kmph gusting to 90 kmph. To move across Pamban area during next 3 hours. To cross south TN coast between Pamban & Kanniyakumari during 3rd night and 4th early hours.",,2,
Twitter Moments India,@MomentsIndia,2020-12-03T10:29:54.000Z,"A red alert has been issued for south Tamil Nadu and south Kerala as the region braces for #CycloneBurevi, which is likely to make landfall on Friday.News
Cyclone Burevi downgraded to deep depression as it approaches Tamil Nadu coast",1,9,
SkymetWeather,@SkymetWeather,2020-12-03T10:16:04.000Z,"Southern parts of #Kerala will have very heavy rainfall commencing 04th December morning.

#BureviCyclone #CycloneBurevi #Tamilnadurains #CycloneAlertCyclone Burevi hits Sri Lanka, enters Gulf of Mannar, landfall likely near Pamban
Cyclone Burevi is positioned now over Gulf of Mannar and is heading for Tamil Nadu coast. The storm moved nearly westward with a speed of 12kmph in the past 6 hours and is nearing the coastline of...
skymetweather.com",,6,1
Headline English,@hnlenglish,2020-12-03T10:01:20.000Z,"Cyclone Burevi: Alert in Tamil Nadu and Kerala, cyclone likely to hit the coast on Friday #cycloneburevi #heavyrainfall ...
http://34.94.76.204/featured/cyclone-burevi-alert-in-tamil-nadu-and-kerala-cyclone-likely-to-hit-the-coast-on-friday/?feed_id=28434&_unique_id=5fc8b76fe57cd",,,
DT Next,@dt_next,2020-12-03T09:49:08.000Z,"It would then move nearly west-southwestwards across Pamban area by afternoon and cross south Tamil Nadu coast between Pamban and Kanyakumari during 3 December night. #CycloneBurevi #Burevi
#PambanCyclonic storm Burevi centred close to Pamban
It would then move nearly west-southwestwards across Pamban area by afternoon and cross south Tamil Nadu coast between Pamban and Kanyakumari during 3 December night and 4 December early morning as a...
dtnext.in",,,
Mohamed Samaan Mhukuthar #IndiaOUT (⧖),@samaanslifeDMG,2020-12-03T09:32:58.000Z,"#CycloneAlert #CyclonebureviMaldives Meteorology
@MetMaldives
 · Dec 3
ALERT WHITE extended for cyclone ""Burevi""
This is for information ONLY",,,
NewsMobile,@NewsMobileIndia,2020-12-03T09:16:26.000Z,"#CycloneBurevi expected to cross south Tamil Nadu coast between Pamban and Kanniyakumari during tonight and early tomorrow
An official says, ""Appeal to people to shift to cyclone shelters.""
#CycloneAlert 
#CycloneBurevi 
#TamilNadu",,3,2
ANI,@ANI,2020-12-03T09:00:41.000Z,"Tamil Nadu: Rameswaram receives rainfall as a result of #CycloneBurevi which is expected to cross south Tamil Nadu coast between Pamban and Kanniyakumari during tonight and early tomorrow

An official says, ""Appeal to people to shift to cyclone shelters.""",6,290,26
PuthiyathalaimuraiTV,@PTTVOnlineNews,2020-12-03T08:39:40.000Z,"புரெவி புயல்: தரங்கம்பாடி - டேனிஷ் கோட்டை பாதிக்கும் அபாயம்! 

https://bit.ly/2L1L0TA | #BureviCyclone #CycloneBureviபுரெவி புயல்: தரங்கம்பாடி - டேனிஷ் கோட்டை பாதிக்கும் அபாயம்!
புரெவி புயல் காரணமாக கடல் சீற்றம், கனமழை எதிரொலியால் தரங்கம்பாடியில் உள்ள வரலாற்றுச் சிறப்புமிக்க டேனிஷ் கோட்டை முற்றிலும் பாதிக்கும் அபாயம் ஏற்பட்டுள்ளது. மயிலாடுதுறை மாவட்டம் சீர்காழியை அடுத்த...
puthiyathalaimurai.com",,11,2
S.H.Tyron,@tyron1808,2020-12-03T08:21:41.000Z,"What is #BuRevi 
 
Clean blue sky #haputale 
 
#CycloneBurevi #LKA #SriLanka #BureviCyclone",,1,
ETVBharat West Bengal,@ETVBharatWB,2020-12-03T08:13:14.000Z,"https://etvbharat.com/bengali/west-bengal/city/kolkata/cyclone-burevi-hit-in-mid-night-in-tamilnadu-and-puducherry-while-the-temparechar-increase-in-west-bengal-and-north-west-india/wb20201203134000259…

#CycloneBureviমধ্যরাতে আছে পড়তে পারে বুরেভি, একের পর এক নিম্নচাপে বাধা শীতে
etvbharat.com",,,
Malinda Millangoda,@malinda_sbm,2020-12-03T08:02:43.000Z,Situation reported @ 12.00pm: 12252 people of 3575 families of 6 districts affected with 4 people injured and 1 missing. 192 houses partially damaged & 15 houses fully damaged. 10336 people of 2911 families moved to safe locations. Source: DMC #weather #srilanka #CycloneBurevi,,,
PIB in KERALA,@PIBTvpm,2020-12-03T07:47:01.000Z,"#CycloneBurevi 

ബുറെവി ശ്രീലങ്കയ്ക്ക്  മുകളിൽ ; തമിഴ്നാട്, കേരള സംസ്ഥാനങ്ങളിലെ ദക്ഷിണ തീരങ്ങളില്‍ ചുഴലിക്കാറ്റ് മുന്നറിയിപ്പ്

കൂടുതല്‍ വിവരങ്ങള്‍ക്ക് :

https://pib.gov.in/PressReleasePage.aspx?PRID=1677970…
@ndmaindia
 @KeralaSDMA
 @prdlivekerala
 @CMOKerala
 @DDNewsMalayalam
 @airnews_tvm
 #PIBKochi",,7,3
Sun News,@sunnewstamil,2020-12-03T07:38:58.000Z,"#BREAKING | மீனவர்களுக்கு எச்சரிக்கை! 

#Sunnews | #CycloneBurevi | #Kanyakumari",,35,3
Outlook Magazine,@Outlookindia,2020-12-03T07:24:54.000Z,"#CycloneBurevi: 
@AmitShahOffice
 speaks to #Kerala, #TamilNadu CMs; assures help. The cyclone is likely to make landfall on the southern coast on Friday.
@vijayanpinarayi
 @EPSTamilNadu
 
READ MORE:Cyclone Burevi: Amit Shah Speaks To Kerala, Tamil Nadu Chief Ministers; Assures Help
The cyclone is likely to make landfall on the southern coast on Friday.
outlookindia.com",,1,1
Sri Lanka Tweet,@SriLankaTweet,2020-12-03T07:09:59.000Z,"According to reports, So far 15 houses completely damaged and 170 partially damaged. 
#LKA #SriLanka #CycloneBureviSri Lanka Tweet
@SriLankaTweet
 · Dec 3
During last 24-hours massive rainfall of 279mm reported in Akkarayan Kulam in Kilinochchi -MET 
#LKA #SriLanka #CycloneBurevi Image @LankadeepaNews",,38,14
Oneindia Tamil,@thatsTamil,2020-12-03T06:59:50.000Z,"தனுஷ்கோடி புயலுக்கே தாங்கிய பாம்பன் பாலம்.. இந்த புரேவிக்கெல்லாம் அசையுமா?.. அத்தனை ஸ்டிராங்காச்சே!  https://tamil.oneindia.com/news/ramanathapuram/pamban-bridge-history-in-tamil-404823.html… #cycloneburevi #pambanbridgeதனுஷ்கோடி புயலுக்கே தாங்கிய பாம்பன் பாலம்.. இந்த புரேவிக்கெல்லாம் அசையுமா?.. அத்தனை ஸ்டிராங்காச்சே!
Pamban Palam History in Tamil (பாம்பன் பாலத்தின் வரலாறு): பாம்பன் பாலத்தின் பலம், வரலாறு தெரியாத வெகு சிலர் இந்த புரேவியை கண்டு அஞ்சுகிறார்கள். தற்போது பாம்பன் பாPamban Palam History in Tamil...
tamil.oneindia.com",1,12,
Sowmya,@sowmyaneelu,2020-12-03T06:51:16.000Z,"Stay safe TN, Kerala #CycloneBureviNDTV
@ndtv
 · Dec 3
#CycloneBurevi To Cross South Tamil Nadu By Tomorrow, Kerala Too On Alert https://ndtv.com/tamil-nadu-news/cyclone-burevi-to-cross-south-tamil-nadu-by-tomorrow-kerala-too-on-alert-2333568…",,,
PuthiyathalaimuraiTV,@PTTVOnlineNews,2020-12-03T06:44:47.000Z,"புரெவி புயல் Live Updates: செம்பரம்பாக்கம் ஏரியில் 1000 கன அடி நீர் திறப்பு  

https://bit.ly/36xlGNj | #Chembarambakkam  | #Cyclone | #CycloneBureviபுரெவி புயல் Live Updates: சிவகங்கை மாவட்டத்தில் இயல்பு வாழ்க்கை பாதிப்பு!
வங்கக் கடலில் உருவான புரெவி புயல் திரிகோணமலையில் கரையை கடந்து தற்போது பாம்பனுக்கு கிழக்கே 90 கி.மீ தூரத்தில் மையம் கொண்டுள்ளது. பாம்பன் - கன்னியாகுமரி இடையே புயல் கரையை கடக்கும் என வானிலை ஆய்வு மையம்...
puthiyathalaimurai.com",,20,4
Sahan Dahanayake,@LiveSahan,2020-12-03T06:37:55.000Z,"Cyclonic storm 'BUREVI' is now located in the vicinity of the coastal area between Mannar and Punarin and is gradually moving away from the island. 

Watch Live >> https://citizen.lk/news/76893

#SriLanka #WeatherSL #CycloneBurevi 
@MeteoLK
 @dmc_lk",,,1
TOI Madurai,@TOIMadurai,2020-12-03T06:31:27.000Z,#CycloneBurevi: Moderate rainfall in Madurai,,64,6
dinakaranonline,@dinakaranonline,2020-12-03T06:22:59.000Z,"#புரெவி புயல் முன்னெச்சரிக்கை: தமிழக முதல்வர் #எடப்பாடி பழனிசாமி-யிடம் மத்திய உள்துறை அமைச்சர் #அமித்ஷா ஆலோசனை..!! #CycloneBurevi #Burevi #BureviCyclone #CycloneAlertபுரெவி புயல் முன்னெச்சரிக்கை: தமிழக முதல்வர் எடப்பாடி பழனிசாமி-யிடம் மத்திய உள்துறை அமைச்சர்...
புரெவி புயல் முன்னெச்சரிக்கை: தமிழக முதல்வர் எடப்பாடி பழனிசாமி-யிடம் மத்திய உள்துறை அமைச்சர் அமித்ஷா ஆலோசனை..!!
dinakaran.com",,6,
Oneindia Tamil,@thatsTamil,2020-12-03T06:12:26.000Z,"புரேவி புயல் தமிழகத்தில் எங்கு கரையை கடக்கும்? எங்கெங்கு அதிதீவிர கமழை பெய்யும்  https://tamil.oneindia.com/news/ramanathapuram/burevi-cyclone-crossing-time-in-tamil-nadu-404814.html… #cycloneburevi #cyclone #rain #tamilnadu #புரேவிபுயல் #தமிழ்நாடு #மழை #புயல்புரேவி புயல் தமிழகத்தில் எங்கு கரையை கடக்கும்? எங்கெங்கு அதிதீவிர கமழை பெய்யும்
Buravi, which formed in the Bay of Bengal, is likely to cross the south-western southwest coast between Kanyakumari and Pamban at midnight or early this morning. The Met Office has warned of heavy...
tamil.oneindia.com",,5,
DailyThanthi,@dinathanthi,2020-12-03T06:04:43.000Z,"https://dailythanthi.com/News/State/2020/12/03112357/All-assistance-will-be-provided-by-the-Central-Government.vpf…

#CycloneBurevi  #AmitShah #EdappadiPalaniswamiபுரெவி புயல்: தமிழகத்திற்கு தேவையான அனைத்து உதவிகளையும் மத்திய அரசு செய்யும் - அமித்ஷா உறுதி
dailythanthi.com",,6,
PIB in KERALA,@PIBTvpm,2020-12-03T05:59:37.000Z,"#CycloneBurevi 

Some crucial Do's
and Dont's 
Watch Video
Be Smart...Be Prepared
#PIBKochi 
@ndmaindia
 @NDRFHQ
 @Indiametdept
 @IMDWeather
 @prdlivekerala
 @DDNewsMalayalam
  @airnews_tvm
 @KirenRijiju",,4,1
The Times Of India,@timesofindia,2020-12-03T05:54:03.000Z,"Watch: Rough sea in Pamban near Rameswaram

#CycloneBureviFrom 
TOIChennai",1,260,43
dinakaranonline,@dinakaranonline,2020-12-03T05:46:20.000Z,"#புரெவி புயல் பாம்பனுக்கு #கிழக்குப்பகுதியில் 80 கி.மீ. தூரத்தில் #மையம் கொண்டுள்ள நிலையில் 14 கி.மீ. #வேகத்தில் நகர்கிறது ! #CycloneBurevi #Burevi #BureviCyclone #CycloneAlertபுரெவி புயல் பாம்பனுக்கு கிழக்குப்பகுதியில் 80 கி.மீ. தூரத்தில் மையம் கொண்டுள்ள நிலையில் 14 கி.மீ....
புரெவி புயல் பாம்பனுக்கு கிழக்குப்பகுதியில் 80 கி.மீ. தூரத்தில் மையம் கொண்டுள்ள நிலையில் 14 கி.மீ. வேகத்தில் நகர்கிறது !
dinakaran.com",,6,1
Vijayanand - Data Analytics on Covid / Corona,@vijay27anand,2020-12-03T05:36:30.000Z,"Lake levels status of Chennai water supply reservoir, 

Chembarambakkam lake at 86% full.
Overall Chennai lakes at 84% full. 

#CycloneBurevi #chennairains",1,6,
Bhavi Naren,@nbhavi25,2020-12-03T05:31:35.000Z,"42 years ago when cyclone hit Batticaloa district...
#Batticaloa 
@SriLankaLive
 #CycloneBurevi",,1,
dinakaranonline,@dinakaranonline,2020-12-03T05:24:09.000Z,"மீன்பிடிப்பில் ஈடுபட்டுள்ள #மீனவர்களை பத்திரமாக கரைசேர்க்க #மாவட்ட ஆட்சியர் தீவிர #நடவடிக்கை #CycloneBurevi #Burevi #BureviCyclone #CycloneAlertமீன்பிடிப்பில் ஈடுபட்டுள்ள மீனவர்களை பத்திரமாக கரைசேர்க்க மாவட்ட ஆட்சியர் தீவிர நடவடிக்கை
மீன்பிடிப்பில் ஈடுபட்டுள்ள மீனவர்களை பத்திரமாக கரைசேர்க்க மாவட்ட ஆட்சியர் தீவிர நடவடிக்கை
dinakaran.com",,7,2
vijayakumar,@iamvijayakumar,2020-12-03T05:19:09.000Z,"Cyclone Burevi may move through Kadana river basin. It may hit western Ghats(Agastya Malai range) from Courtallam to Kalakkad. It will be interesting to watch Tamirabarani, Vaippar, Karmaniyar and Nambiar river basins. #CycloneBurevi #Kadana #Thamirabarani",1,5,
*RamaniTweetMediaReport,@rammee2205,2020-12-03T05:11:48.000Z,"Total 26 teams of National Disaster Response Force pre-positioned across Tamil Nadu and Kerala, in the wake of #CycloneBurevi: 
@NDRFHQ",,,
Knews,@Knewsindia,2020-12-03T05:07:13.000Z,"#CycloneBurevi : गृह मंत्री अमित शाह ने की केरल और तमिलनाडु के सीएम से बात, दिया मदद का आश्वासन
@AmitShah
 @AmitShahOffice
 #CycloneBurevi
#CycloneBurevi #Cyclone",,,
LatestLY,@latestly,2020-12-03T04:58:15.000Z,"Amit Shah Speaks to Tamil Nadu CM & Kerala CM, in the Wake of Cyclone Burevi: https://latestly.com/india/news/live-breaking-news-headlines-updates-on-december-3-2020-2178408.html#74380… 
@AmitShah
 #CycloneBureviFarmers' Leaders Refuse Food by Govt at Vigyan Bhawan, Watch Video: Live Breaking News Headlines...
Keep an eye on this space for all the latest news and updates that take place throughout the day. 
 Farmers' Leaders Refuse Food by Govt at Vigyan Bhawan, Watch Video: Live Breaking News Headlines...
latestly.com",1,1,
Velicham TV,@velichamtvtamil,2020-12-03T04:46:51.000Z,"#JUSTIN புரெவி புயல் காரணமாக சென்னையில் இருந்து தென்மாவட்டங்களுக்கு செல்லும் 12 விமான சேவைகள் ரத்து

#CycloneBurevi #flights",,9,1
Tamil Express News,@TamilExpresscom,2020-12-03T04:37:11.000Z,"காரைக்காலில் பள்ளிகளுக்கு விடுமுறை..!!
#TamilExpressNews #COVID19 | #CycloneBurevi #Karaikal #Schoolகாரைக்காலில் பள்ளிகளுக்கு விடுமுறை..!! - Tamil News | Tamil Online News | Tamil Trending News |...
இலங்கையில் மையம்கொண்ட புயல் புதன்கிழமை இரவு கரையை கடந்தது. இதனால், பாம்பன் பகுதியில் பலத்த காற்றுடன் மழை பெய்து வருகிறது.
tamilexpressnews.com",,,
Dinasuvadu Tamil,@DinasuvaduTamil,2020-12-03T04:27:42.000Z,"காரைக்காலில் பெய்து வரும் கனமழையால் பள்ளிகளுக்கு விடுமுறை.!
 ReadMore -https://dinasuvadu.com/school-holidays-due-to-heavy-rains-in-karaikal/…
#BureviCyclone | #CycloneBurevi | #Karaikalகாரைக்காலில் பெய்து வரும் கனமழையால் பள்ளிகளுக்கு விடுமுறை.! -
Collector Arjun Sharma has ordered a holiday for private and government schools in Karaikal due to heavy rains.
dinasuvadu.com",,,
Achi Sat PRO,@AchinthaSatell,2020-12-03T04:11:18.000Z,"Weather Satellite Images - Indian Basins
METEOR-M2 at local time 08:07 am 03/12/2020
#CycloneBurevi
#METEOR_M2 #Weather #Satellite #LKA #WeatherSL #SriLanka",,,
TOI Kochi,@TOIKochiNews,2020-12-03T04:03:49.000Z,NDRF team visits coastal area of Veliyathura in Thiruvananthapuram and plans preparations ahead of #CycloneBurevi,,3,2
News18 Tamil Nadu,@News18TamilNadu,2020-12-03T03:56:36.000Z,"#CycloneBurevi | புறப்பட்டது புரெவி புயல் பாம்பன் - கன்னியாகுமரி இடையே இன்று இரவு அல்லது நாளை அதிகாலை கரை கடக்கும்

வீடியோ :பாம்பன் - கன்னியாகுமரி இடையே கரையை கடக்கிறது புரெவி புயல்..– News18 Tamil
புறப்பட்டது புரெவி புயல் பாம்பன் - கன்னியாகுமரி இடையே இன்று இரவு அல்லது நாளை அதிகாலை கரை கடக்கும் என தகவல் வெளியாகியுள்ளது | Puravi cyclone will cross the border between Pamban and Kanyakumari...
tamil.news18.com",,26,
சுரேஷ் அ,@g17NtAbwxAWwdEp,2020-12-03T03:51:00.000Z,"#CycloneBurevi
இரவிலிருந்து விடாமல் மழைபெய்யுது....",1,3,
Er.s.mohamed bilal,@bilal_bbh,2020-12-03T03:45:23.000Z,"#BREAKING  | குமரியில் இருந்து ஆழ்கடலுக்கு மீன்பிடிக்கச் சென்ற மீனவர்களின் 118 படகுகள் இன்னும் கரை திரும்பவில்லை!

#CycloneBurevi  | #Kanyakumari  | #SunNews   | 
@CMOTamilNadu
  | 
@Udhayakumar_RB",,1,
DD News Gujarati,@DDNewsGujarati,2020-12-03T03:37:33.000Z,"#headlines 
@9AM
#NarendraModi  #FarmerProtest  #CycloneBurevi",,9,
Abhishek Swain,@Abhishe44284150,2020-12-03T03:28:21.000Z,"#CycloneBurevi just 40 km away from Kerala coast, IMD issues red alert for 4 districts

https://hindustantimes.com/india-news/cyclone-burevi-just-40-km-away-from-kerala-coast-imd-issues-red-alert-for-4-districts/story-f6CI587swlvNRl5RCdAlMN.html…",,1,1
Viral Speaker,@ViralSpeakeroff,2020-12-03T03:21:15.000Z,"7 Cyclone Update
https://youtu.be/xrh9q5ujd_g
 | #CycloneBurevi  #Burevi  #BureviCyclone  #புரெவி_புயல்  #புரெவி",,,
IndSamachar News,@Indsamachar,2020-12-03T03:11:46.000Z,#CycloneBurevi Update: Karaikal declares holiday for schools.,,1,
ARJUN-Investment Advisor,@flyingcalls,2020-12-03T03:05:16.000Z,Approximately 500 km from my house to Kanyakumari but the impact of the #CycloneBurevi impact is here.,2,8,
Vignesh Kumar,@ikivikii,2020-12-03T02:59:20.000Z,"Bracing for #Burevi !
#CycloneBureviPIB India
@PIB_India
 · Dec 2
Cyclone warning for South Tamil Nadu and South Kerala coasts: Orange Message

#CycloneBurevi likely to cross South Tamil Nadu coast between December 3 night/December 4 early morning with a wind speed of 70-90 kmph

(1/2)

Details: https://pib.gov.in/PressReleasePage.aspx?PRID=1677834…
Show this thread",,,
Fairfirst Insurance,@fairfirst_sl,2020-12-03T02:54:50.000Z,"#Cyclones are often on the news, but #SriLanka has not faced one's impact directly over the last 42 years. The #advisory on this link provides #precautions to #safeguard you and your loved ones against the coming #CycloneBurevi and more.
https://fairfirst.lk/safety-first/",,,
Worldwide Tamils,@senior_tamilan,2020-12-03T02:46:54.000Z,"#புயல் ரூட்டை மாத்திட்டாம்! 

#புரவிபுயலின் பாதையில் சற்று மாற்றம் ஏற்பட்டு #யாழ்ப்பாணம் நோக்கி நகர்ந்துள்ளது! 
07 மணி முதல் 09 மணிவரை #காங்கேசன்துறை பகுதியை...

மேலும் வாசிக்க: https://m.facebook.com/story.php?story_fbid=4778481332193730&id=465972560111317…

#CycloneBurevi #Jaffna #SL #LKA #LK #WWTnews #WorldwideTamils",,2,1
editorji,@editorji,2020-12-03T02:37:01.000Z,Parts of #Kerala and #TamilNadu are on high alert as #CycloneBurevi inches closer to their shores,,5,
bhaskaran(BS),@BHASKARANSHIVAR,2020-12-03T02:27:59.000Z,#Burevi #chennairains #Northeastmonsoon #Kanyakumari #Thanjavur #kumbakonam  #Tamilnadurains #CycloneBurevi    Rainfall till 6 a.m this morning .Delta smashed . Bountiful,1,1,
PuthiyathalaimuraiTV,@PTTVOnlineNews,2020-12-03T02:15:13.000Z,"புரெவி புயல்: தமிழகத்தின் பல்வேறு மாவட்டங்களில் விடிய விடிய மழை! 

https://bit.ly/39whXSi | #Downpour | #TamilNaduRains | #CycloneBurevi  | #ChennaiRainsபுரெவி புயல்: தமிழகத்தின் பல்வேறு மாவட்டங்களில் விடிய விடிய மழை!
புரெவி புயலின் தாக்கம் காரணமாக, சென்னையிலும் அதன் சுற்றுப் பகுதிகளிலும் பரவலாக மழை பெய்தது. இலங்கையில் புரெவி புயல் கரையைக் கடந்துள்ள நிலையில், பாம்பன் பகுதியில் பலத்த காற்றுடன் மழை பெய்து வருகிறது....
puthiyathalaimurai.com",3,74,7
Bizlane,@Bizlane1,2020-12-03T02:02:28.000Z,"#CycloneBureviBizlane
@Bizlane1
 · Dec 3
#OrmaxHeartbeats Financial stimulus of 0.4% provided to all new and existing loan customers, realizing million of Indian aspirations at this critical economic juncture. https://play.google.com/store/apps/details?id=com.bizlane.bizlaneuserapp… DOWNLOAD BIZLANE APP",,,
Mathrubhumi News,@mathrubhuminews,2020-12-03T01:52:31.000Z,"Cyclone Burevi Reaches 380 Km Off Coast Of Kanyakumari https://tv.mathrubhumi.com/news/kerala/cyclone-burevi-reaches-380-km-off-coast-of-kanyakumari-1.71920?utm_source=dlvr.it&utm_medium=twitter… #CycloneBurevi #Kanyakumari #KeralaRainബുറെവി ചുഴലിക്കാറ്റ് കന്യാകുമാരിയില്‍ നിന്ന് ഏകദേശം 380 കിമീ ദൂരത്തിലെത്തി
കന്യാകുമാരി: ബുറെവി ചുഴലിക്കാറ്റ് കന്യാകുമാരിയില്‍ നിന്ന് ഏകദേശം 380 കിമീ ദൂരത്തിലെത്തി.കേന്ദ്ര കാലാവസ്ഥ...
tv.mathrubhumi.com",,1,
sel,@Selwyyyyn,2020-12-03T01:51:17.000Z,"Last minute CDO development around the LLC should have  packed a punch.  An Amazing Sat loop to save.. #CycloneBurevi #BureviCyclone #TN #chennairains #mannar #SriLankaJason Nicholls
@jnmet
 · Dec 3
Satellite loop of Cyclonic Storm #Burevi striking #SriLanka near Mullaithivu around 8-9pm Wednesday night, local time. Burevi will enter the Gulf of Mannar on Thursday and pass near #Pamaban around midday. Flooding will remain a concern across Sri Lanka & S #India into Saturday.
GIF",1,31,2
DT Next,@dt_next,2020-12-03T01:37:00.000Z,"The cyclonic storm Burevi formed over Bay of Bengal is expected to cross the Gulf of Mannar on December 3. #Burevi #cycloneburevi #BureviCycloneOrange alert issued for TN, Kerala as Burevi set to cross Gulf of Mannar today
The cyclonic storm Burevi formed over Bay of Bengal is expected to cross the Gulf of Mannar on December 3. An orange alert is issued for Tamil Nadu and Kerala coasts, with expected wind speeds...
dtnext.in",,,1
Oneindia Tamil,@thatsTamil,2020-12-03T01:24:04.000Z,"#CycloneBurevi கன்னியாகுமரி, நெல்லை, தென்காசி, தூத்துக்குடி, ராமநாதபுரம், சிவகங்கை மாவட்டங்களில் 21 செ.மீ.க்கு அதிகமான மழைக்கு வாய்ப்பு

கன்னியாகுமரி, நெல்லை, தென்காசி, தூத்துக்குடி, ராமநாதபுரம், சிவகங்கை மாவட்டங்களுக்கு ரெட் அலர்ட் எச்சரிக்கை
#Rainfall",1,28,2
Iroshana De SIlva,@crazyiro,2020-12-03T01:05:52.000Z,#CycloneBurevi #burevi #BureviCyclone Overnight over Sri Lanka. Looks like it's strengthening a tad bit owing to the warm waters in the Arabian sea.GIF,,3,2
Yugan 𝓝𝓪𝓻𝓶𝓪𝓽𝓱𝓪𝓷,@imyugan,2020-12-03T00:51:47.000Z,"4 people have been injured after several trees were uprooted by gale winds in Valvettithurai.

#LKA #SriLanka #CycloneBurevi #BureviCyclone",,,
Sandeep Jha,@Sandeep_jha07,2020-12-02T23:11:55.000Z,"PM Modi interacts with CMs of Tamil Nadu & Kerala on the conditions prevailing due to Cyclone Burevi #PMModi #CycloneBurevi #CentralAssistance #Kerala #TamilNadu #PinarayiVijayan #ThiruEdappadiKPalaniswamiPM Modi interacts with CMs of Tamil Nadu & Kerala on the conditions prevailing due to Cyclone...
Prime Minister Narendra Modi Wednesday interacted with Chief Minister of Tamil Nadu Thiru Edappadi K Palaniswami and Kerala Chief Minister Pinarayi Vijayan on the conditions prevailing due to Cyclone...
newschrome.com",,2,1
Maalai Malar News,@maalaimalar,2020-12-02T21:23:15.000Z,"திருகோணமலை அருகே கரையை கடந்தது புரெவி புயல்
#BureviCyclone #CycloneBureviதிருகோணமலை அருகே கரையை கடந்தது புரெவி புயல்
புரெவி புயல் திருகோணமலை அருகே தற்போது கரையை கடந்தது. புயல் இன்று பாம்பன் அருகே கரையை கடக்கிறது.
maalaimalar.com",,6,1
